School ID,Q1(%),Q2(%),Q3(%),Q4(%),School,Board,Num students,Level 1 (%),Level 2 (%),Level 3 (%),Level 4 (%),Num F,Num M,Q8(%),Q11(%),Q5(%),Q6(%),Q7(%),School UPPER,Board lower,School lenght,Board Reverse,School Left,School Right,Total male and female
942200,54,56,44,41,Sir Wilfrid Laurier CI,Toronto DSB,267,9,18,58,11,142,125,36,62,66,30,63,SIR WILFRID LAURIER CI,toronto dsb,22,BSD otnoroT,Sir, CI,267
943894,50,60,45,34,Southwood SS,Waterloo Region DSB,140,5,16,74,4,70,70,31,50,72,34,70,SOUTHWOOD SS,waterloo region dsb,12,BSD noigeR oolretaW,Sou, SS,140
943916,53,43,29,32,Harold M. Brathwaite Secondary School,Peel District School Board,159,4,13,75,8,70,89,24,60,68,24,71,HAROLD M. BRATHWAITE SECONDARY SCHOOL,peel district school board,37,draoB loohcS tcirtsiD leeP,Har,ool,159
945978,53,45,37,39,Streetsville SS,Peel District School Board,185,5,11,76,8,87,98,28,58,66,21,62,STREETSVILLE SS,peel district school board,15,draoB loohcS tcirtsiD leeP,Str, SS,185
949027,43,47,37,25,Ursula Franklin Academy,Toronto DSB,117,2,5,79,14,57,60,27,56,60,20,48,URSULA FRANKLIN ACADEMY,toronto dsb,23,BSD otnoroT,Urs,emy,117
949353,74,64,58,53,Victoria Park CI,Toronto DSB,257,3,5,53,37,116,141,45,67,80,42,73,VICTORIA PARK CI,toronto dsb,16,BSD otnoroT,Vic, CI,257
949744,69,62,57,59,SATEC@W A Porter CI,Toronto DSB,272,1,9,71,18,94,178,48,75,85,39,78,SATEC@W A PORTER CI,toronto dsb,19,BSD otnoroT,SAT, CI,272
950130,79,76,70,63,W L Mackenzie CI,Toronto DSB,251,2,3,47,47,106,145,45,75,87,42,75,W L MACKENZIE CI,toronto dsb,16,BSD otnoroT,W L, CI,251
950912,57,57,47,39,Waterloo CI,Waterloo Region DSB,203,1,8,68,21,109,94,30,57,73,39,65,WATERLOO CI,waterloo region dsb,11,BSD noigeR oolretaW,Wat, CI,203
951749,52,55,44,45,West Humber CI,Toronto DSB,144,4,15,73,7,75,69,32,57,76,36,69,WEST HUMBER CI,toronto dsb,14,BSD otnoroT,Wes, CI,144
952605,55,57,48,38,Weston CI,Toronto DSB,124,16,8,69,4,64,60,41,55,75,33,66,WESTON CI,toronto dsb,9,BSD otnoroT,Wes, CI,124
952885,65,57,51,44,Lincoln M. Alexander S.S.,Peel District School Board,128,4,12,69,14,53,75,54,66,80,31,72,LINCOLN M. ALEXANDER S.S.,peel district school board,25,draoB loohcS tcirtsiD leeP,Lin,.S.,128
952990,45,40,32,35,Wexford CI,Toronto DSB,193,5,19,72,4,136,57,29,42,70,23,69,WEXFORD CI,toronto dsb,10,BSD otnoroT,Wex, CI,193
954160,57,57,48,48,Woburn CI,Toronto DSB,205,3,6,78,13,89,116,37,66,72,40,56,WOBURN CI,toronto dsb,9,BSD otnoroT,Wob, CI,205
954403,60,53,47,47,The Woodlands School,Peel District School Board,215,4,6,60,29,100,115,48,60,77,32,73,THE WOODLANDS SCHOOL,peel district school board,20,draoB loohcS tcirtsiD leeP,The,ool,215
954683,61,55,44,51,York Memorial CI,Toronto DSB,210,13,18,57,10,96,114,38,56,68,39,67,YORK MEMORIAL CI,toronto dsb,16,BSD otnoroT,Yor, CI,210
962646,56,56,48,42,Stephen Lewis SS,Peel District School Board,333,3,9,79,10,157,176,36,71,81,30,73,STEPHEN LEWIS SS,peel district school board,16,draoB loohcS tcirtsiD leeP,Ste, SS,333
